Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice
202,Ketel One Citroen Vodka,Liter,20,579.8,28.99
204,Smirnoff Pineapple,Liter,1,14.49,14.49
207,Smirnoff Pomegrante,Liter,3,43.47,14.49
211,Cold River Gin,750mL,126,3772.74,29.94238095238095
213,Stolichnaya Blueberi,Liter,64,1581.36,24.70875
216,Absolut Raspberri,Liter,18,393.82,21.878888888888888
217,Absolut Vanilia,Liter,40,875.5999999999999,21.889999999999997
222,Wray & Nephew Wh Overproof,750mL,2,39.98,19.99
226,DeKuyper Red Apple Schnapps,750mL,12,131.88,10.99
229,Sauza Gold VAP,750mL,6,89.94,14.99
233,Tullamore Dew 12 Yr Old,750mL,64,2934.36,45.849375
240,Capt Morgan Tattoo,Liter,9,188.91,20.99
244,Ketel One Oranje,Liter,3,86.97,28.99
247,Gran Patron Platinum Tequil,750mL,8,1679.92,209.99
248,Wild Shot Reposado Mezcal,750mL,1,49.99,49.99
249,Massenez Creme de Cassis,750mL,6,131.94,21.99
253,Poland Spring Vodka,Liter,479,2773.41,5.79
254,DeKuyper Root Beer Schnapps,Liter,49,538.51,10.99
258,Ciroc Coconut Vodka,Liter,7,237.93,33.99
261,Svedka Citron Vodka,Liter,12,155.88,12.99
269,Juarez Triple Sec,Liter,238,949.62,3.99
272,Juarez Silver Tequila,Liter,135,1348.65,9.99
273,Sauza Extra Gold Tequila,1.75L,612,14088.88,23.021045751633984
274,Old Bushmills,Liter,11,285.89,25.99
276,Bushmills Black Bush,Liter,10,369.90000000000003,36.99
278,Cazadores Reposado Tequila,Liter,4,115.96,28.99
281,Kamora Coffee Gift Pack,750mL,45,450.55,10.012222222222222
283,Milagro Tequila Reposado SBR,750mL,26,1389.74,53.45153846153846
284,Milagro Tequila Anejo SBR,750mL,30,2439.7,81.32333333333332
290,Aberlour A'Bunadh Sngle Malt,750mL,13,859.87,66.14384615384616
294,Old Mexico Gold Tequila,Liter,402,3412.98,8.49
298,Old Mexico Blanco Tequila,Liter,11,93.39,8.49
304,Ciroc Red Berry Vodka,Liter,4,135.96,33.99
305,Crown Royal Canadian Whisky,Liter,746,20880.54,27.990000000000002
308,Barsol Primero Quebranta Pso,750mL,15,299.84999999999997,19.99
311,The Glenlivet 12 Yr Gift Pk,750mL,61,2620.3900000000003,42.957213114754104
313,Rothman & Winter Violette,750mL,13,285.87,21.990000000000002
317,Triple Eight Vodka,750mL,1,31.99,31.99
319,Peter Paul Bacigalupi Chard,750mL,2,69.98,34.99
323,Tequila Rose Strawberry Gift,750mL,21,299.79,14.275714285714287
330,Finlandia Raspberry Vodka,750mL,1,16.99,16.99
336,Bols Genever Amsterdam,750mL,1,32.99,32.99
338,The Irishman Irish Whiskey,750mL,1,23.49,23.49
344,Punt e Mes Sweet Vermouth,750mL,57,1139.4299999999998,19.99
350,Courvoisier VS Gift Pak,750mL,27,620.7299999999999,22.989999999999995
354,Capt Morgan Lime Bite Rum,Liter,3,58.47,19.49
356,Carolans Irish Cr Gift Set,750mL,52,671.48,12.913076923076924
361,Effen Cucumber Vodka,750mL,202,4867.98,24.09891089108911
363,4 Orange Vodka,Liter,8,175.92000000000002,21.990000000000002
364,Ciroc Peach Vodka,200mL,5,39.95,7.99
366,Crown Royal w/2 Glasses,750mL,93,2047.07,22.011505376344086
369,Svedka Grape Vodka,Liter,3,38.97,12.99
370,Finlandia Vodka,Liter,21,293.79,13.99
372,44* North Magic Valley Vodka,750mL,6,134.94,22.49
376,Aperol Liqueur,750mL,155,4493.45,28.99
377,Hendrick's Gin,Liter,12,455.88,37.99
381,Baileys Irish Cream w/4 Glss,750mL,130,2588.7,19.913076923076922
384,Ardbeg Corryvreckan Scotch,750mL,50,3719.5,74.39
388,Smirnoff 80 Proof,Liter,739,10708.11,14.49
399,S S Pierce 99 Vodka 80 Proof,Liter,12,75.48,6.29
401,S S Pierce Ninety Nine Bl W,Liter,6,44.94,7.489999999999999
403,Kahlua Midnight,Liter,12,287.88,23.99
405,Jack Daniels & Coke,1.75L,3,125.97,41.99
407,Hancock Rsv Bourbon,750mL,1,49.99,49.99
408,Wild Turkey American Honey,750mL,806,14499.939999999999,17.99
415,Jose Cuervo Especial,Liter,866,18177.34,20.99
419,Absolut Citron,Liter,242,5287.58,21.849504132231406
420,Calico Jack Spiced Rum,Liter,6,47.94,7.989999999999999
426,Crystal Head Vodka,50mL,401,3203.9900000000002,7.99
427,Van Gogh Chocolate Liqueur,750mL,1,8.99,8.99
428,Sauza Giro Gold Tequila,Liter,134,1271.66,9.49
435,Il Tramonto Limoncello,750mL,192,3622.08,18.865
437,Rock Hills Farm Bourbon,750mL,8,399.92,49.99
438,Licor 43 Vanilla Liqueur,750mL,471,8786.289999999999,18.654543524416134
441,Caribou Crossing Canadian,750mL,27,1349.73,49.99
443,St Germain Liqueur,750mL,419,15483.810000000001,36.95420047732697
446,St Urbans-Hof Rsl,750mL,152,2284.48,15.029473684210526
450,Vincent Van Gogh Double Esp,750mL,158,3948.4199999999996,24.99
451,Hiram Walker Triple Sec,Liter,41,204.59,4.99
453,Hornitos Reposado Tequila,Liter,33,958.67,29.05060606060606
455,Baileys Salted Caramel,Liter,1,27.99,27.99
457,El Caballo Gold Tequila,Liter,5,44.95,8.99
463,Kirk & Sweeney 12Yr Old Rum,750mL,165,5608.35,33.99
465,Corralejo Reposado Tequila,750mL,2,89.98,44.99
473,Ciroc Peach Vodka,Liter,28,951.72,33.99
482,Absolut 80 Proof,Liter,2191,47778.09,21.80652213601095
484,Absolut Mango,Liter,38,835.6200000000001,21.990000000000002
485,Seagrams 7 Crown,Liter,200,2598.0,12.99
497,Capt Morgan Spiced Rum,Liter,2339,46756.61,19.990000000000002
500,Remy Martin Louis XIII,750mL,1,2999.99,2999.99
505,Robert Sinskey Pnt Gris,750mL,1,29.99,29.99
508,Bacardi Superior Rum,Liter,3625,47883.75,13.209310344827585
513,Ocean Vodka,750mL,162,5084.38,31.385061728395062
515,Hirsch Selection Bourbon,750mL,86,3334.1400000000003,38.76906976744186
516,Kamora Coffee Liqueur,Liter,15,164.85,10.99
523,Castello Del Poggio Moscato,750mL,862,8977.380000000001,10.414593967517403
525,El Tesoro Anejo Gold Tequil,750mL,43,1722.5700000000002,40.059767441860465
529,Desert Island Iced Tea,Liter,31,225.99,7.29
530,Smirnoff Fluffed Marshmallow,Liter,6,89.94,14.99
536,Svedka Cherry Vodka,Liter,9,116.91,12.99
538,Amaretto DiSaronno,375mL,1314,16649.86,12.671126331811264
539,Bowman's Vodka,Liter,513,2970.27,5.79
540,Bacardi Pineapple Fusion,50mL,1080,1069.2,0.99
541,Juarez Gold Tequila,Liter,97,969.03,9.99
543,Berkshire Mtn Ethereal Gin,750mL,8,239.92,29.99
547,DeKuyper Buttershots,Liter,40,519.6,12.99
548,DeKuyper Amaretto,Liter,21,188.79,8.99
549,DeKuyper Melon,Liter,10,89.9,8.99
551,Cruzan Aged Light Rum,750mL,7,76.93,10.99
555,Art In The Age Sage,750mL,39,1187.61,30.45153846153846
557,Bowman's Gin,Liter,1,6.29,6.29
564,DeKuyper Blue Curacao,Liter,54,485.46000000000004,8.99
565,Bombay Dry Gin,Liter,13,266.37,20.490000000000002
567,Ketel One Vodka,Liter,750,21742.5,28.99
576,Pastene Marsala,1.5L,3,26.97,8.99
585,1800 Reposado Gold Tequila,Liter,29,869.7099999999999,29.99
586,Malibu Passion Fruit Rum,Liter,10,169.89999999999998,16.99
587,Malibu Mango Rum,Liter,6,101.94,16.99
589,Bols Blackberry Brandy,Liter,5,54.95,10.99
590,Allen's Amaretto Liqueur,Liter,1,5.99,5.99
592,The Glenlivet Archive 21 Yr,750mL,12,2039.88,169.99
597,Baileys Irish Cream,Liter,826,23119.739999999998,27.99
598,Stolichnaya Ohranj Orange,Liter,102,2516.98,24.67627450980392
599,Stolichnaya Razberi,Liter,280,6877.2,24.56142857142857
600,McCormick Gin,Liter,34,247.86,7.29
601,McCormick Vodka,Liter,164,1146.36,6.989999999999999
602,McCormick Blended Whiskey,Liter,84,612.36,7.29
603,McCormick Gold Rum,Liter,2,13.98,6.99
604,McCormick Silver Rum,Liter,41,286.59000000000003,6.990000000000001
605,Alate Kosher Wine,750mL,13,220.86999999999998,16.99
607,Schmitt Sohne Funf Rsl,750mL,22,227.78,10.353636363636364
608,Cruzan Est Single Barrel Rum,750mL,2,59.98,29.99
610,Moillard Pnt Nr Bourgogne,750mL,1,20.99,20.99
613,Beefeater 24,Liter,3,77.97,25.99
614,J W Dant Bourbon,1.75L,3,68.97,22.99
634,Cruzan Aged Light Rum,Liter,16,223.84,13.99
635,Sobieski Raspberry Vodka,Liter,22,219.78,9.99
636,Bols Pomegranate Liqueur,Liter,5,47.45,9.49
640,Sobieski Orange Vodka,Liter,15,149.85,9.99
644,Amaretto DiSaronno,Liter,126,3432.74,27.24396825396825
649,Sauza Tres Generaciones Pla,750mL,48,1919.52,39.99
650,McCormick Cherry Vodka,Liter,1,6.99,6.99
652,Frangelico Gift Pack-Candle,750mL,19,471.80999999999995,24.832105263157892
653,Dom de Canton Ginger Liqueur,750mL,253,8981.470000000001,35.49988142292491
658,Allens Triple Sec,Liter,202,603.98,2.99
659,Rhum Barbancourt Estate RSV,750mL,79,2685.21,33.99
661,Red Stag by Jim Beam,750mL,638,9224.12,14.457868338557995
664,Ardbeg Uigeadail Scotch,750mL,44,3435.56,78.08090909090909
667,McCormick Vanilla Vodka,Liter,12,83.88,6.989999999999999
669,Robert Sinskey Merlot,750mL,45,1799.5500000000002,39.99
675,Mount Gay 1703 Old Cask Slct,750mL,11,1199.8899999999999,109.08090909090907
676,Pinnacle Whipped Vodka,750mL,811,10098.89,12.452392108508015
680,Midnight Moon Strawberry,750mL,217,4337.83,19.99
685,Caravan Cab Svgn,750mL,14,699.86,49.99
686,Midnight Moon Cherry,750mL,105,2098.95,19.99
689,McManis Pnt Nr Cal,750mL,141,1551.59,11.00418439716312
693,Svedka Vanilla Vodka,Liter,29,376.71000000000004,12.990000000000002
694,Hiram Walker Creme de Cassis,Liter,26,215.54,8.29
700,Hiram Walker Cr de Cacao Br,Liter,14,116.05999999999999,8.29
702,Skyy Vodka,Liter,25,412.24999999999994,16.49
704,Van Winkle Special Rsv 12 Yr,750mL,1,59.99,59.99
713,Capt Morgan Black Spiced Rum,Liter,5,129.95,25.99
714,Allen's Peach Schnapps,Liter,1,5.99,5.99
715,Hiram Walker Cr de Cacao Wh,Liter,12,99.47999999999999,8.29
718,Hiram Walker Mango,Liter,2,20.98,10.49
731,Black & White Scotch,1.75L,9,242.90999999999997,26.989999999999995
735,Orange Quattro di Amore,Liter,7,101.43,14.49
742,DeKuyper Spearmint Schnapps,Liter,2,25.98,12.99
743,Angels Envy Whiskey,750mL,143,7148.570000000001,49.99
749,Stolichnaya Hot Vodka,750mL,6,119.94,19.99
751,Sobieski Espresso Vodka,Liter,28,279.72,9.99
753,LaBelle Winery Blueberry,750mL,78,1559.2199999999998,19.99
756,Barton Long Island Iced Tea,Liter,286,1999.1399999999999,6.989999999999999
757,Jim Beam Rye,750mL,278,5026.219999999999,18.079928057553953
758,Cointreau Liqueur,Liter,121,4838.79,39.99
759,Bunnahabhain 12 Yr Single,750mL,96,5027.04,52.365
764,Smirnoff Blueberry Vodka,Liter,12,173.88,14.49
775,Barton Light Rum,Liter,180,1132.2,6.29
776,Jim Beam Black,Liter,3,68.97,22.99
778,Svedka Vodka,Liter,65,844.35,12.99
779,Svedka Raspberry Vodka,Liter,38,493.62,12.99
780,Svedka Clementine Vodka,Liter,9,116.91,12.99
782,Remy Martin 1738 Accord Ryl,750mL,469,24530.31,52.3034328358209
784,Allen's Sour Apple Liqueur,Liter,4,23.96,5.99
787,Cherry Heering Liqueur,750mL,5,174.95000000000002,34.99
788,Skinnygirl Cucumber Vodka,750mL,36,539.64,14.99
797,Creme Yvette Liqueur,750mL,1,23.99,23.99
800,Jameson Irish Whiskey,Liter,911,29952.89,32.87913282107574
802,Bacardi Torched Cherry Rum,750mL,347,4642.53,13.379048991354466
803,Bacardi Gold Rum,Liter,2,25.98,12.99
804,Bacardi Limon Rum,Liter,34,526.66,15.489999999999998
806,DeKuyper Peachtree Schnapps,Liter,92,1195.08,12.989999999999998
807,Jim Beam,Liter,1051,19035.489999999998,18.111788772597524
808,Gilbeys Gin,Liter,1,8.99,8.99
809,Southern Comfort,Liter,362,7096.379999999999,19.603259668508286
810,Bacardi Black Razz,750mL,417,5557.83,13.328129496402877
811,Jack Daniels No 7 Black,Liter,1789,55210.11,30.860877585243152
812,Jagermeister Liqueur,Liter,1176,26600.239999999998,22.61925170068027
814,Sammy's Beach Bar Rum,750mL,4,71.96,17.99
818,Gordons London Dry Gin,Liter,144,1438.56,9.99
821,Grand Marnier,Liter,443,17272.57,38.99
822,Tanqueray,Liter,673,18164.27,26.990000000000002
823,Johnnie Walker Red Label,Liter,17,475.83,27.99
824,Dewars White Label Scotch,Liter,636,17165.64,26.99
825,Johnnie Walker Black Label,Liter,145,6088.55,41.99
826,Clan MacGregor Scotch,Liter,4,47.96,11.99
827,Bols Anisette,Liter,10,99.9,9.99
828,Bols Sloe Gin,Liter,5,49.95,9.99
829,Tanqueray Sterling Vodka,Liter,187,2803.13,14.99
830,Bols White Creme De Menthe,Liter,6,59.940000000000005,9.99
831,Bols Green Creme De Menthe,Liter,43,429.57,9.99
832,Bols Strawberry Liqueur,Liter,8,79.92,9.99
833,Bols White Creme De Cacao,Liter,31,309.69,9.99
834,Bols Brown Creme de Cacao,Liter,32,319.68,9.99
835,Bols Creme De Noyaux,Liter,12,119.88,9.99
836,Bols Creme de Cassis,Liter,10,99.9,9.99
837,Bols Creme de Banana,Liter,24,239.76000000000002,9.99
838,Bols Cherry Flavored Brandy,Liter,43,472.57,10.99
840,Bols Peach Flavored Brandy,Liter,13,142.87,10.99
842,Bols Apricot Flavored Brand,Liter,10,109.9,10.99
844,Bols Melon Liqueur,Liter,14,139.86,9.99
845,Bols Amaretto Liqueur,Liter,12,119.88,9.99
847,Glenfiddich 12 Year Old Sco,Liter,18,827.82,45.99
849,Bols Peach Schnapps,Liter,5,49.95,9.99
852,Bols Double Barrel Root Bee,Liter,3,28.47,9.49
853,Bols Butterscotch,Liter,2,19.98,9.99
854,Seagrams VO Canadian Whiskey,Liter,276,4413.24,15.989999999999998
855,Black Velvet,Liter,111,1219.89,10.99
856,Chinaco Blanco Tequila,750mL,41,1229.59,29.99
857,Kahlua,Liter,1476,35256.24,23.886341463414634
858,Canadian Club,Liter,720,8632.8,11.989999999999998
859,Beefeater Gin,Liter,243,5952.57,24.496172839506173
860,Bols Orange Curacao,Liter,139,1527.61,10.989999999999998
861,Barton Gin,Liter,71,460.79,6.49
862,Jacques Bonet Brandy,Liter,3,23.97,7.989999999999999
863,Ten High Bourbon,Liter,2,15.98,7.99
865,Montezuma Tequila White,Liter,39,311.61,7.99
866,Absolut Hibiskus,Liter,6,131.94,21.99
868,Tanqueray Ten Gin,Liter,28,895.7199999999999,31.99
869,DeKuyper Anisette,Liter,14,139.86,9.99
870,Carpano Antica Formula,Liter,163,4399.37,26.99
871,DeKuyper Blackberry Brandy,Liter,2,19.98,9.99
874,DeKuyper Creme de Banana,Liter,8,71.92,8.99
875,DeKuyper Creme de Cacao Dark,Liter,58,521.42,8.989999999999998
876,DeKuyper Creme de Cacao Whit,Liter,62,557.38,8.99
877,DeKuyper Creme de Cassis,Liter,81,728.19,8.99
878,DeKuyper Green Creme de Ment,Liter,114,1138.8600000000001,9.990000000000002
879,DeKuyper White Creme de Ment,Liter,25,249.75,9.99
880,Sobieski Vanilla Vodka,Liter,15,149.85,9.99
881,DeKuyper Hazelnut,Liter,15,134.85,8.99
882,DeKuyper Hot Damn Cinnamon,Liter,18,233.82,12.99
883,Patron Burdeos Anejo Tequila,750mL,1,499.99,499.99
884,DeKuyper Orange Curacao,Liter,36,323.64,8.99
885,Arrow Apricot Brandy,750mL,12,95.88,7.989999999999999
886,DeKuyper Peppermint,Liter,7,90.93,12.99
887,DeKuyper Razzmatazz,Liter,58,753.42,12.989999999999998
888,DeKuyper Sloe Gin,Liter,1,8.99,8.99
889,DeKuyper Sour Apple Pucker,Liter,75,974.25,12.99
890,Sobieski Cytron Vodka,Liter,15,149.85,9.99
892,Uncle Val's Botanical Gin,750mL,163,5663.37,34.744601226993865
895,Sambuca Romana,Liter,111,2662.89,23.99
896,Rumpleminze,Liter,158,3790.4199999999996,23.99
897,Montezuma Blue,Liter,67,454.93,6.79
898,Robert Sinskey Cab Svgn Stag,750mL,3,284.96999999999997,94.99
899,Absolut Mandrin,Liter,18,395.82,21.99
901,Creta Olympia White,375mL,24,143.76,5.989999999999999
903,Bombay Sapphire Gin,Liter,548,14790.519999999999,26.99
904,Malibu Rum,Liter,353,6350.469999999999,17.99
905,DeKuyper Grape Pucker,Liter,8,103.92,12.99
906,DeKuyper Watermelon Pucker,Liter,26,337.74,12.99
910,Goldschlager Cinnamon Schnps,Liter,12,275.88,22.99
911,Yukon Jack,Liter,20,419.79999999999995,20.99
912,Smirnoff Vanilla Vodka,Liter,12,173.88,14.49
913,Smirnoff Raspberry Vodka,Liter,52,753.48,14.49
914,Smirnoff Orange Vodka,Liter,12,173.88,14.49
915,Smirnoff Citrus Vodka,Liter,26,376.74,14.49
918,Smirnoff Cherry Vodka,Liter,8,115.92,14.49
920,Sobieski Vodka,Liter,15,149.85,9.99
926,Hangar One Kaffir Lime Vodk,750mL,2,55.98,27.99
929,DeKuyper Island Punch Pucker,Liter,23,298.77,12.989999999999998
932,Robert Sinskey Marcien Red,750mL,2,199.98,99.99
934,Tanteo Jalapeno Tequila,750mL,121,4354.79,35.99
935,Tanteo Tropical Tequila,750mL,1,39.99,39.99
938,Jack Daniels Master Dist VAP,750mL,89,2669.1099999999997,29.989999999999995
942,Glenmorangie Nectar D'Or,750mL,73,4733.2699999999995,64.83931506849315
945,Vincent Van Gogh Pineapple,750mL,4,111.96,27.99
950,Mastersons 10 Yr Old Rye,750mL,3,239.96999999999997,79.99
956,Jose Cuervo Tradicional,Liter,10,299.9,29.99
957,Hangar One Blueberry Vodka,750mL,2,55.98,27.99
966,Patron Citronge Orange Liqu,750mL,591,13237.089999999998,22.3977834179357
967,Chopin Vodka,Liter,1,31.99,31.99
970,Prairie Organic Kosher Vodka,750mL,116,1853.84,15.981379310344828
971,Sauza Extra Gold Tequila,Liter,67,1071.33,15.989999999999998
972,Ciroc Snap Frost Vodka,Liter,21,713.7900000000001,33.99
973,Bacardi 1873 Solera Rum,750mL,22,329.78000000000003,14.990000000000002
975,Drambuie,Liter,14,489.86,34.99
976,McCormick Gold Label Bourbon,Liter,140,1328.6,9.49
977,McCormick Scotch,Liter,3,34.47,11.49
978,Ron Rio Silver Rum,Liter,182,1272.18,6.99
979,Pancho Villa Rojo,Liter,9,70.11,7.79
981,McCormick Triple Sec,Liter,128,510.72,3.99
982,McCormick Long Island Iced,Liter,137,957.63,6.99
984,Patron XO Cafe Liqueur,750mL,425,11389.75,26.799411764705884
989,Absolut Pears,Liter,9,197.91,21.99
993,Three Olives S'Mores Vodka,750mL,2,21.98,10.99
994,Absolut Apeach,Liter,28,615.7199999999999,21.99
995,Absolut Ruby Red,Liter,24,525.76,21.906666666666666
998,Corralejo Blanco Tequila,750mL,20,612.8000000000001,30.640000000000004
999,Jameson 18 Year Old,750mL,23,2759.77,119.99
1000,Goslings Dark'n Stormy VAP,750mL,29,483.71,16.679655172413792
1001,Bailey's 50mL 4 Pack,50mL 4 Pk,853,5109.47,5.99
1003,Crown Royal +2 Reusable Cups,750mL,18,403.82,22.434444444444445
1004,Jim Beam w/2 Rocks Glasses,750mL,42,618.58,14.72809523809524
1005,Maker's Mark Combo Pack,375mL 2 Pk,280,9797.2,34.99
1006,Jim Beam Candy Cane 4/50mLs,50mL 4 Pk,149,594.51,3.9899999999999998
1007,12 Days of Pearls Gift Set,50mL 12 Pk,26,259.74,9.99
1009,Rebel Yell Variety Pack,750mL 3 Pk,60,2999.4,49.99
1012,Courvoisier VSOP VAP,750mL,34,1192.66,35.07823529411765
1013,Kahlua Pumpkin Spice Liqueur,750mL,79,1500.21,18.990000000000002
1019,Drambuie Glass Pack,750mL,83,2243.17,27.026144578313254
1020,B & B Dom VAP,750mL,47,1174.53,24.99
1021,St Brendans Peppermint Bark,750mL,79,1105.21,13.99
1022,St Brendans Salted Caramel,750mL,110,1538.9,13.99
1023,Hennessy VSOP Cognac + 50mL,750mL,237,12390.630000000001,52.281139240506334
1024,Hennessey VS +VSOP 50mL,750mL,512,14783.88,28.874765625
1025,Fulton's Harvest Pumpkin Liq,750mL,31,309.69,9.99
1026,Ole Smoky Apple Pie Pour Pak,750mL,11,208.89,18.99
1029,Fulton's Harvest Apple Pie L,750mL,66,659.34,9.99
1030,Ole Smoky Pumpkin Pie,750mL,28,531.72,18.990000000000002
1031,Avion Tasting Flight 3/375mL,375mL 3 Pk,23,1039.77,45.20739130434782
1032,Woodford Rsv MC Classic Malt,750mL,1,99.99,99.99
1033,Chivas Regal w/ 2 Glasses,750mL,31,977.6899999999999,31.53838709677419
1034,Mr Boston Holiday Nog,750mL,10,49.900000000000006,4.99
1035,Pinnacle Vodka Gift Pak,750mL + 3/,56,629.44,11.24
1036,Jameson Trilogy Pack,200mL 3 Pk,58,2319.42,39.99
1037,JP Wiser's Rye w/ 2 Glasses,750mL,28,603.72,21.56142857142857
1038,1800 Silver w/ Shot Glasses,750mL,46,1191.54,25.90304347826087
1039,Three Olives Vodka w/Flask,750mL,168,2194.32,13.061428571428573
1042,Benchmark Egg Nog,750mL,41,286.59000000000003,6.990000000000001
1043,Jim Beam Gift Pak,750mL,1,16.49,16.49
1045,Glenfiddich Trio 200ml Pack,200mL 3 Pk,21,1049.79,49.989999999999995
1048,Mother's Holiday Nog,750mL,42,377.58,8.99
1049,Old New England Pumpkin Nog,750mL,152,1062.48,6.99
1050,Hudson Maple Cask Rye,375mL,32,1439.68,44.99
1051,Woodford Reserve MC 1838,750mL,13,1299.87,99.99
1056,Dry Sack Sherry Gift Pack,750mL,1,13.49,13.49
1059,Old St Nick's Egg Nog,750mL,32,191.68,5.99
1060,Jack Daniels Bruins Glass Pk,Liter,383,11676.17,30.48608355091384
1061,Christian Bros Holiday Nog,750mL,28,195.72,6.99
1062,St Christopher Gluhwein,Liter,6,41.94,6.989999999999999
1064,Jack Daniels Honey + Glass,750mL,320,7472.799999999999,23.3525
1065,DiSaronno Cavalli Collection,50mL 3 Pk,103,1337.97,12.99
1066,DiSaronno Cavalli Glass Pack,750mL,14,303.85999999999996,21.70428571428571
1090,Licor 43 Liqueur Gift Pack,750mL,5,94.94999999999999,18.99
1094,Four Roses Single Barrel Brb,750mL,194,8622.06,44.44360824742268
1096,Evan Williams Egg Nog,750mL,8,55.92,6.99
1099,Angel's Envy NH Blend Bourbn,750mL,130,5978.7,45.99
1106,Aberfeldy Single Cask,750mL,1,249.99,249.99
1107,Common Man Slctn Woodford Rs,Liter,2,91.98,45.99
1112,Ardbeg Exploration Pk +50mls,750mL,138,6484.62,46.99
1120,Jesse James Spiced Bourbon,750mL,12,191.88,15.99
1129,Smugglers Notch Rum,750mL,2,75.98,37.99
1133,Glenmorangie Collection 4 Pk,100mL 4 Pk,108,3454.92,31.990000000000002
1135,Rebel Reserve Bourbon,750mL,345,7285.549999999999,21.117536231884056
1136,Malibu 50ml Sampler Pack,50mL 5 Pk,174,868.26,4.99
1148,Old New England Egg Nog,750mL,37,258.63,6.99
1156,Old New England Egg Nog,1.75L,20,259.8,12.99
1158,Old New England Choc Egg Nog,750mL,134,936.66,6.989999999999999
1168,Old Grand Dad Bonded,750mL,154,3124.4599999999996,20.288701298701294
1173,Woodford Rsv Cotton Restrant,Liter,7,321.93,45.99
1174,Rebel Yell,1.75L,429,9223.71,21.50048951048951
1178,Evan Williams Black Label B,750mL,825,9194.25,11.144545454545455
1180,Evan Williams Black Label B,1.75L,2660,48852.399999999994,18.365563909774433
1181,Kahlua Peppermint Mocha,750mL,60,1141.3999999999999,19.02333333333333
1186,Evan Williams Single Barrel,750mL,109,3050.91,27.99
1210,Elmer T Lee Bourbon,750mL,5,174.95,34.989999999999995
